Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2/20/21,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
Admin,2/20/21,LTC,60610,19359,40655,6662142,4477889,2135938,34287,96420,61072,null,null,40655,4477889,2135939,61072
Admin,2/21/21,US,552175,241441,301284,69870569,47105052,21790765,681375,1433895,732351,null,null,301323,47105052,21792455,732411
Report,2/21/21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2/21/21,LTC,42311,12807,29004,6704453,4490696,2164942,32537,94773,61218,null,null,29004,4490696,2164943,61217
Admin,2/22/21,US,1390057,608828,755528,71260626,47713880,22546293,682962,1473043,768886,null,null,755600,47713880,22548055,768949
Report,2/22/21,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2/22/21,LTC,94385,29205,64288,6798838,4519901,2229230,31221,93157,60896,null,null,64288,4519901,2229231,60896
Admin,2/23/21,US,1852780,855165,965497,73113406,48569045,23511790,693081,1514936,799169,null,null,965557,48569045,23513612,799236
Report,2/23/21,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2/23/21,LTC,93398,29908,62491,6892236,4549809,2291721,29442,90310,59822,null,null,62491,4549809,2291722,59822
Admin,2/24/21,US,2406248,1217851,1158234,75519654,49786896,24670024,735597,1587761,828378,null,null,1158346,49786896,24671958,828453
Report,2/24/21,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2/24/21,LTC,105385,38084,66512,6997621,4587893,2358233,29074,88530,58490,null,null,66512,4587893,2358234,58490
Admin,2/25/21,US,2793351,1498526,1256724,78313005,51285422,25926748,832662,1733288,875164,null,null,1256902,51285422,25928860,875255
Report,2/25/21,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2/25/21,LTC,110443,42038,67432,7108064,4629931,2425665,29825,88354,57649,null,null,67432,4629931,2425666,57649
Admin,2/26/21,US,2966499,1637472,1297014,81279504,52922894,27223762,949965,1888018,911832,null,null,1297104,52922894,27225964,911915
Report,2/26/21,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
Admin,2/26/21,LTC,70241,22433,46748,7178305,4652364,2472413,27691,82396,53876,null,null,46748,4652364,2472414,53875
Admin,2/27/21,US,1903241,1112904,769658,83182745,54035798,27993420,1024598,1980621,929134,null,null,769927,54035798,27995891,929251
Report,2/27/21,US,null,null,null,null,null,null,null,null,null,2352116,1645240,null,null,null,null
Admin,2/27/21,LTC,42479,13160,28806,7220784,4665524,2501219,26805,79806,52183,null,null,28806,4665524,2501220,52183
Admin,2/28/21,US,799762,517609,270115,83982507,54553407,28263535,1064051,2015991,924681,null,null,270159,54553407,28266050,924799
Report,2/28/21,US,null,null,null,null,null,null,null,null,null,2429823,1735053,null,null,null,null
Admin,2/28/21,LTC,21662,6260,15095,7242446,4671784,2516314,25870,76856,50196,null,null,15095,4671784,2516315,50196
Admin,3/1/21,US,1820243,1084358,709568,85802750,55637765,28973103,1131984,2077446,918116,null,null,710317,55637765,28976367,918330
Report,3/1/21,US,null,null,null,null,null,null,null,null,null,1663984,1817502,null,null,null,null
Admin,3/1/21,LTC,37759,12818,24546,7280205,4684602,2540860,23529,68766,44519,null,null,24546,4684602,2540861,44518
Admin,3/2/21,US,2319023,1402715,894395,88121773,57040480,29867498,1210205,2144052,907958,null,null,895112,57040480,29871479,908266
Report,3/2/21,US,null,null,null,null,null,null,null,null,null,1731614,1942788,null,null,null,null
Admin,3/2/21,LTC,40803,14682,25753,7321008,4699284,2566613,21354,61253,39270,null,null,25756,4699284,2566617,39270
Admin,3/3/21,US,2769392,1689891,1053686,90891165,58730371,30921184,1277639,2195930,893023,null,null,1063778,58730371,30935257,894757
